sku,product_name,price,brand,material,shape,dimension,origin,quantity_available,product_url
SK2010F 54 3001,SWAROVSKI SK2010F,5740000 ,SWAROVSKI,Kim loại /Nhựa,Mắt mèo,54-16-140,Ý,8,https://kinhmatviettin.vn/products/swarovski-sk2010f-54-3001
SK1007 55 4014,SWAROVSKI SK1007,4540000 ,SWAROVSKI,Kim loại,Mắt mèo,55-18-140,Ý,5,https://kinhmatviettin.vn/products/swarovski-sk1007-55-4014
TH1901 807,TOMMY HILFIGER TH1901,4480000 ,TOMMY HILIFGER,Nhựa/ kim loại,Chữ nhật,52-19-150,Trung,5,https://kinhmatviettin.vn/products/tommy-hilfiger-th1901-807
TH1901 086 /807,TOMMY HILFIGER TH1901,4480000 ,TOMMY HILIFGER,Nhựa/ kim loại,Chữ nhật,53-19-150,Trung,6,https://kinhmatviettin.vn/products/tommy-hilfiger-th1901-086
TH1892 807,TOMMY HILFIGER TH1892,4980000 ,TOMMY HILIFGER,Nhựa/ kim loại,Chữ nhật,52-19-145,Trung,4,https://kinhmatviettin.vn/products/tommy-hilfiger-th1892-807
TH1881,TOMMY HILFIGER TH1881,4980000 ,TOMMY HILIFGER,Nhựa/ kim loại,Mắt mèo,53-17-140,Trung,6,https://kinhmatviettin.vn/products/tommy-hilfiger-th1881-807
TH1814 807,TOMMY HILFIGER TH1814,4480000 ,TOMMY HILIFGER,Nhựa/ kim loại,Vuông,51-20-150,Trung,3,https://kinhmatviettin.vn/products/tommy-hilfiger-th1814-807
VTU034J 54,TUMI VTU034J,5600000 ,TUMI,Titanium,Chữ nhật,54-17-145,Nhật,4,https://kinhmatviettin.vn/products/tumi-vtu034j-54-col0530
VTU024 56,TUMI VTU024,4500000 ,BVLGARI,Titanium,Chữ nhật,56-17-145,Nhật,2,https://kinhmatviettin.vn/products/tumi-vtu024-56-col0531
RB7168D 55 2012,RAYBAN RB7168D,2660000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-18-145,Trung,6,https://kinhmatviettin.vn/products/rayban-rb7168d-55-2012-1
RB5421F 55 8268,RAYBAN RB5421F,4860000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-19-145,Trung,8,https://kinhmatviettin.vn/products/rayban-rb5421f-55-8268
RB3717V 57 3086/2509,RAYBAN RB3717V,4740000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,57-18-145,Trung,8,https://kinhmatviettin.vn/products/rayban-rb3717v-57-3086
RB8908 55 2000 / 5196,RAY BAN RB8908,5860000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-18-145,Trung,17,https://kinhmatviettin.vn/products/ray-ban-rb8908-55-2000
RB8905 55 5843 /5845,RAY BAN RB8905,5860000 ,RAYBAN,Nhựa/ kim loại,Vuông,55-18-145,Trung,9,https://kinhmatviettin.vn/products/ray-ban-rb8905-55-5843
RB7244 53 2000,RAY BAN RB7244,4060000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,53-18-140,Trung,22,https://kinhmatviettin.vn/products/ray-ban-rb7244-53-2000
RB7217F 54 8266,RAY BAN RB7217F,4260000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,52-18-140,Trung,13,https://kinhmatviettin.vn/products/ray-ban-rb7217f-54-8266
RB7211F 53 2000,RAY BAN RB7211F,4060000 ,RAYBAN,Nhựa/ kim loại,Vuông,53-19-145,Trung,11,https://kinhmatviettin.vn/products/ray-ban-rb7211f-53-2000
RB7149D 55 2000,RAY BAN RB7149D,2660000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-17-145,Trung,7,https://kinhmatviettin.vn/products/ray-ban-rb7149d-55-2000
RB5421F 53 2000,RAY BAN RB5421F,4860000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,53-19-145,Trung,25,https://kinhmatviettin.vn/products/ray-ban-rb5421f-53-2000
RB5418F 54 2000,RAY BAN RB5418F,4660000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,54-20-150,Trung,40,https://kinhmatviettin.vn/products/ray-ban-rb5418f-54-2000
RB5406F 54 2000 /2034,RAY BAN RB5406F,4060000 ,RAYBAN,Nhựa/ kim loại,Vuông,54-18-150,Trung,23,https://kinhmatviettin.vn/products/ray-ban-rb5406f-54-2000-1
RB5403D 54 5725,RAY BAN RB5403D,3830000 ,RAYBAN,Nhựa/ kim loại,Vuông,54-18-145,Trung,10,https://kinhmatviettin.vn/products/ray-ban-rb5403d-54-5725
RB5401D 50 2000,RAY BAN RB5401D,4060000 ,RAYBAN,Nhựa/ kim loại,Tròn,50-20-145,Trung,2,https://kinhmatviettin.vn/products/ray-ban-rb5401d-50-2000
RB5315D 55 2477,RAY BAN RB5315D,2660000 ,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-17-145,Trung,27,https://kinhmatviettin.vn/products/ray-ban-rb5315d-55-2477
RB5315D 55 2000,RAY BAN RB5315D,2660000 ,RAYBAN,Nhựa,Chữ nhật,55-17-145,Trung,40,https://kinhmatviettin.vn/products/ray-ban-rb5315d-55-2000
1270 50 C2,SATOKOJI 1270,895000 ,SATOKOJI,NNhựa/Titanium,Tròn,53-18-145,Nhật,260,https://kinhmatviettin.vn/products/satokoji-1270-50-c1
GFL-018 54/17,GIANFRANCO LOTTI 18K SOLID GOLD GFL-018,119000000 ,GIANFRANCO,Vàng 18k nguyên khối,Chữ nhật,54-17-145,Nhật,1,https://kinhmatviettin.vn/products/gong-18k-solid-gold-gianfranco-lotti-gfl-018-5417
VFU635 0700,FURLA VFU635,4200000 ,FURLA,Nhựa,Cánh bướm,54-15-140,Trung,9,https://kinhmatviettin.vn/products/furla-vfu635-06s8
VFI219 0BLK,FILA VFI219 0BLK,2600000 ,FILA,Nhựa,Chữ nhật,53-18-145,Trung,1,https://kinhmatviettin.vn/products/fila-vfi219-0blk
VPR 13Z-D 56,PRADA VPR 13Z-D,8660000 ,PRADA,Nhựa,Chữ nhật,56-16-140,Ý,7,https://kinhmatviettin.vn/products/prada-vpr-13z-d-56-1ab1-1o1
VPR 01WV 56,PRADA VPR 01WV,6860000 ,PRADA,Nhựa,Chữ nhật,56-18-145,Ý,6,https://kinhmatviettin.vn/products/prada-vpr-01wv-56-01g-1o1
PR03YVF 56 1AB1O1,PRADA PR03YVF,6860000 ,PRADA,Nhựa,Chữ nhật,56-17-150,Ý,3,https://kinhmatviettin.vn/products/prada-pr03yvf-56-1ab1o1
OPR 20ZVF 56 16K1O1,PRADA OPR 20ZVF,9260000 ,PRADA,Nhựa,Cánh bướm,56-16-145,Ý,2,https://kinhmatviettin.vn/products/prada-opr-20zvf-56-16k1o1
OPR 01ZVD 56,PRADA OPR 01ZVD,7060000 ,PRADA,Nhựa,Chữ nhật,56-17-145,Ý,4,https://kinhmatviettin.vn/products/prada-opr-01zvd-56-01ab1o1
OPR 01SV 56,PRADA OPR 01SV,6860000 ,PRADA,Nhựa,Chữ nhật,56-17-145,Ý,1,https://kinhmatviettin.vn/products/prada-opr-01sv-56-1ab1o1
VO5378 53 2986,VOGUE VO5378,3460000 ,VOGUE,Nhựa/Titanium,Chữ nhật,53-17-140,Trung,2,https://kinhmatviettin.vn/products/vogue-vo5378-53-2986
VO5399D 53 W656,VOGUE VO5399D,2660000 ,VOGUE,Nhựa/ Titanium,Vuông,53-17-145,Trung,2,https://kinhmatviettin.vn/products/vogue-vo5399d-53-w656
VO5420-F 54 W656/W44,VOGUE VO5420-F,2860000 ,VOGUE,Nhựa/Kim loại,Chữ nhật,54-17-140,Trung,4,https://kinhmatviettin.vn/products/vogue-vo5420-f-54-w656
VO5430-D 53 W44,VOGUE VO5430-D,2660000 ,VOGUE,Nhựa/ Titanium,Đa giác,53-181140,Trung,19,https://kinhmatviettin.vn/products/vogue-vo5430-d-53-w44
VO5451-F 53 W44,VOGUE VO5451-F,2660000 ,VOGUE,Nhựa/ Titanium,Vuông,53-16-140,Trung,6,https://kinhmatviettin.vn/products/vogue-vo5451-f-53-w44
VO5477-B 52 W44,VOGUE VO5477-B,3860000 ,VOGUE,Nhựa/ Titanium,Chữ nhật,52-18-140,Trung,4,https://kinhmatviettin.vn/products/vogue-vo5477-b-52-w44
AX3077F 54 8158 /8333,ARMANI EXCHANGE AX3077F,2860000 ,ARMANI EXCHANGE,Nhựa/Titanium,Chữ nhật,54-17-145,Trung,2,https://kinhmatviettin.vn/products/armani-exchangeax3077f-54-8158
AX3078F 53 8158,ARMANI EXCHANGE AX3078F,2860000 ,ARMANI EXCHANGE,Titanium/ Nhựa,Mắt mèo,53-17-140,Trung,2,https://kinhmatviettin.vn/products/armani-exchange-ax3078f-53-8158
B-1919/2  CEN1240,BENTLEY B-1919/2,25000000 ,BENTLEY,Titanium/ Mạ vàng,Chữ nhật,54-19-140,Nhật,1,https://kinhmatviettin.vn/products/bentley-b-19192-col01-cen1240
B8028 COL.5 V808767,BENTLEY B8028,26000000 ,BENTLEY,Titanium/ Mạ vàng,Chữ nhật,57-17-145,Nhật,1,https://kinhmatviettin.vn/products/bentley-b8028-col5-v808767
B007 RG750,BENTLEY GOLD 18KT B007,368500000 ,BENTLEY,Vàng 18K nguyên khối,Chữ nhật,53-18-145,Đức,1,https://kinhmatviettin.vn/products/bentley-gold-18kt-b007-rg750
TF5928DB 53 001,TOMFORD TF5928DB,9200000 ,TOMFORD,Nhựa /Titanium,Chữ nhật,53-19-145,ý,4,https://kinhmatviettin.vn/products/tomford-tf5928db-53-001
GG1159OA 56 002,GUCCI GG1159OA,11900000 ,GUCCI,Nhựa /Kim loại,Chữ nhật,56-15-145,Ý,1,https://kinhmatviettin.vn/products/gucci-gg1159oa-56-002
GG1159O 56 003,GUCCI GG1159O,11900000 ,GUCCI,Nhựa/ Kim loại,Chữ nhật,56-17-145,Ý,2,https://kinhmatviettin.vn/products/gucci-gg1159o-56-003
